core_name,core_type,sample_depth_start,sample_depth_end,latitude,longitude,depth,tex86,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,bit,publicationYear,reference_name,remark,reference_link
SO95-17949,BC,0,1,17.35,115.17,2195,0.711711712,0.203,0.064,0.087,0.011,0.573,0.06,0.15,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17950,BC,0,1,16.09,112.9,1868,0.714285714,0.193,0.062,0.085,0.011,0.591,0.059,0.08,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17951,BC,0,1,16.29,113.41,2340,0.704663212,0.183,0.057,0.077,0.01,0.625,0.049,0.09,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17952,BC,0,1,16.67,114.47,2864,0.707317073,0.212,0.06,0.078,0.01,0.584,0.057,0.11,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17954,BC,0,1,14.8,111.53,1517,0.708133971,0.205,0.061,0.078,0.012,0.586,0.058,0.1,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17955,BC,0,1,14.12,112.18,2404,0.704081633,0.201,0.058,0.075,0.01,0.604,0.053,0.14,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17956,BC,0,1,13.85,112.59,3387,0.712962963,0.213,0.062,0.085,0.01,0.571,0.059,0.25,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17957,BC,0,1,10.9,115.3,2197,0.730392157,0.218,0.055,0.079,0.009,0.577,0.061,0.06,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17958,BC,0,1,11.62,115.08,2581,0.733333333,0.199,0.052,0.076,0.009,0.606,0.058,0.09,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17959,BC,0,1,11.14,115.29,1957,0.738219895,0.179,0.05,0.08,0.01,0.63,0.051,0.03,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
