# NOAA Paleoclimatology Program - Paleocean Site Data
# rc27-23-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Mark A. Altabet
# Core/Site:      RC27-23
# Latitude:       17.59.36N	( 17.99333)
# Longitude:      57.35.24E	( 57.59)
# Water Depth(m): 820
#
# Publications:
#   Altabet, M.A., M.J. Higginson, and D.W. Murray. 2002. The effect of millennial-scale
#     changes in Arabian Sea denitrification on atmospheric CO2. Nature 415:159-162.
#------------------
#
# Description & Notes:
#   Arabian Sea Denitrification Data.
#   Substantial millennial-scale variability in Arabian Sea denitrification and productivity
#   is indicated during the last glacial period.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d15N          delta N15
#             N%            Nitrogen percent
#             chlor         Chlorins (µg/g)
#
# CORE: RC27-23
depth	yrBP 	d15N	N%	chlor	
612.5	40501	5.63	0.23	2.25	
614.5	40568	5.76	0.22	2.158	
616.5	40636	5.53	0.24	1.929	
618.5	40703	6.06	0.24	1.946	
620.5	40785	6.48	0.24	2.048	
622.5	40882	6.29	0.09	1.255	
624.5	40979	6.95	0.26	2.38	
626.5	41075	6.99	0.23	2.407	
628.5	41172	6.25	0.22	1.726	
630.5	41312	5.35	0.18	1.575	
632.5	41452	5.66	0.19	2.124	
634.5	41592	6.02	0.21	1.914	
636.5	41732	6.39	0.26	2.022	
638.5	41875	7.03	0.28	3.044	
640.5	42020	7	0.25	2.552	
642.5	42166	8.46	0.44	3.035	
644.5	42312	7.29	0.27	3.59	
646.5	42457	7.59	0.43	2.618	
648.5	42568	4.97	0.18	2.606	
650.5	42645	4.58	0.15	2.015	
652.5	42722	4.76	0.16	1.506	
654.5	42799	6.39	0.2	1.284	
656.5	42876	5.19	0.18	1.441	
658.5	42953	4.61	0.19	1.566	
660.5	43030	5	0.19	1.718	
662.5	43107	6.13	0.22	1.852	
664.5	43193	6.36	0.25	1.892	
666.5	43288	6.34	0.26	2.117	
668.5	43383	6.65	0.2	2.024	
670.5	43478	7.45	0.3	1.818	
672.5	43574	7.22	0.28	2.678	
674.5	43669	7.66	0.3	2.713	
676.5	43764	7.83	0.25	2.464	
678.5	43860	8.34	0.27	2.216	
680.5	43955	8.57	0.27	2.449	
682.5	44050	7.97	0.25	2.284	
684.5	44145	8.54	0.31	2.334	
686.5	44241	8.58	0.29	2.471	
688.5	44336	9.16	0.41	2.414	
690.5	44431	9.56	0.44	4.182	
692.5	44526	8.93	0.37	3.11	
694.5	44622	7.95	0.27	2.738	
696.5	44717	9.13	0.39	3.618	
698.5	44812	9.26	0.38	4.449	
700.5	44907	8.16	0.29	4.908	
701.5	44955	8.86	0.36	-999	
702.5	45003	7.92	0.28	2.975	
703.5	45050	7.51	0.27	-999	
704.5	45098	8.46	0.36	2.56	
706.5	45193	8.64	0.41	4.488	
707.5	45241	8.12	0.42	-999	
708.5	45289	8.44	0.37	6.687	
709.5	45336	7.53	0.3	-999	
710.5	45381	5.97	0.23	3.782	
711.5	45423	6.29	0.21	-999	
712.5	45465	6.53	0.17	2.533	
713.5	45507	6.47	0.19	-999	
714.5	45549	6.15	0.17	1.22	
715.5	45591	5.68	0.15	-999	
716.5	45633	5.35	0.15	1.776	
717.5	45675	4.96	0.14	-999	
718.5	45718	5.05	0.15	1.614	
719.5	45760	5.13	0.15	-999	
720.5	45802	4.98	0.15	1.516	
721.5	45844	6.39	0.19	-999	
722.5	45886	6.4	0.19	1.363	
723.5	45928	6.76	0.21	-999	
724.5	45970	6.16	0.18	1.209	
725.5	46012	5.98	0.16	-999	
726.5	46054	5.88	0.16	1.465	
727.5	46096	5.99	0.16	-999	
728.5	46138	6.08	0.15	1.662	
729.5	46180	6.28	0.16	-999	
730.5	46222	6.38	0.16	2.065	
731.5	46264	6.46	0.17	-999	
732.5	46306	6.23	0.18	1.473	
733.5	46349	6.2	0.18	-999	
734.5	46391	6.19	0.17	1.365	
735.5	46433	6.24	0.19	-999	
736.5	46475	6.45	0.18	1.427	
737.5	46517	6.51	0.2	-999	
738.5	46559	6.59	0.19	1.57	
739.5	46601	6.65	0.2	-999	
740.5	46643	6.51	0.2	1.283	
741.5	46675	6.88	0.23	-999	
742.5	46697	6.71	0.22	1.496	
743.5	46719	6.8	0.24	-999	
744.5	46741	6.72	0.22	1.399	
745.5	46764	6.61	0.21	-999	
746.5	46786	6.59	0.2	2.037	
747.5	46808	6.6	0.21	-999	
748.5	46830	6.69	0.22	1.507	
749.5	46852	6.98	0.25	-999	
750.5	46874	6.67	0.22	1.603	
751.5	46896	6.76	0.23	-999	
752.5	46918	6.89	0.26	1.822	
753.5	46941	6.72	0.24	-999	
754.5	46963	6.78	0.25	1.655	
755.5	46985	6.6	0.25	-999	
756.5	47007	6.95	0.27	1.818	
757.5	47029	7.46	0.3	-999	
758.5	47051	7.77	0.38	2.357	
759.5	47073	7.59	0.32	-999	
760.5	47095	7.68	0.34	2.441	
761.5	47118	7.55	0.35	-999	
762.5	47140	7.54	0.29	2.441	
763.5	47162	7.45	0.31	-999	
764.5	47184	7.06	0.25	2.488	
765.5	47286	6.77	0.23	-999	
766.5	47467	6.41	0.25	2.119	
767.5	47649	7.19	0.25	-999	
768.5	47682	7.7	0.26	2.309	
769.5	47715	7.59	0.32	-999	
770.5	47749	7.85	0.37	2.502	
771.5	47782	7.6	0.33	-999	
772.5	47815	7.64	0.32	2.46	
773.5	47848	7.64	0.31	-999	
774.5	47881	7.65	0.31	2.25	
775.5	47914	7.8	0.3	-999	
776.5	47948	7.9	0.31	2.186	
777.5	47981	7.24	0.24	-999	
778.5	48014	8	0.32	2.298	
779.5	48047	7.87	0.31	-999	
780.5	48080	7.32	0.24	1.944	
781.5	48113	7.9	0.3	-999	
782.5	48147	-999	-999	2.12	
784.5	48213	-999	-999	2.477	
786.5	48279	-999	-999	2.243	
788.5	48346	-999	-999	2.112	
790.5	48412	-999	-999	2.179	
792.5	48478	-999	-999	2.125	
794.5	48545	-999	-999	2.099	
796.5	48611	-999	-999	2.158	
798.5	48677	-999	-999	2.072	
800.5	48744	-999	-999	2.202	
802.5	48810	-999	-999	2.205	
803.5	48843	8.57	0.3	-999	
804.5	48876	8.23	0.29	2.176	
805.5	48909	8.28	0.29	-999	
806.5	48943	8.37	0.3	2.11	
807.5	48976	8.72	0.35	-999	
808.5	49009	8.91	0.37	2.484	
809.5	49042	8.78	0.35	-999	
810.5	49075	8.77	0.32	2.233	
811.5	49108	7.78	0.25	-999	
812.5	49172	9.06	0.32	2.146	
813.5	49266	8.71	0.3	-999	
814.5	49360	8.59	0.32	2.074	
815.5	49454	8.66	0.32	-999	
816.5	49548	8.35	0.27	2.083	
817.5	49642	8.43	0.3	-999	
818.5	49736	8.74	0.31	2.097	
819.5	49830	8.82	0.31	-999	
820.5	49925	9.01	0.34	2.048	
821.5	50019	9.15	0.33	-999	
822.5	50113	8.73	0.45	2.316	
823.5	50207	8.91	0.32	-999	
824.5	50301	9.07	0.32	2.243	
825.5	50395	9.11	0.31	-999	
826.5	50489	9.28	0.31	2.529	
827.5	50583	9.06	0.34	-999	
828.5	50677	8.79	0.34	2.559	
829.5	50771	8.77	0.33	-999	
830.5	50865	8.64	0.31	2.381	
831.5	50959	8.86	0.31	-999	
832.5	51053	9.2	0.35	2.999	
833.5	51147	9.15	0.36	-999	
834.5	51241	9.11	0.37	3.255	
835.5	51335	9	0.36	-999	
836.5	51430	8.6	0.34	2.792	
837.5	51524	7.27	0.22	-999	
838.5	51618	7.32	0.26	2.551	
839.5	51712	7.58	0.26	-999	
840.5	51806	8.38	0.28	2.913	
841.5	51900	8.16	0.27	-999	
842.5	51994	8.27	0.23	1.797	
843.5	52088	7.42	0.24	-999	
844.5	52151	6.38	0.17	1.264	
845.5	52183	6.92	0.19	-999	
846.5	52215	5.5	0.13	1.375	
847.5	52247	5.42	0.14	-999	
848.5	52279	5.55	0.15	1.582	
849.5	52311	5.8	0.14	-999	
850.5	52343	5.66	0.13	1.608	
851.5	52375	5.57	0.13	-999	
852.5	52407	5.62	0.13	1.579	
853.5	52439	5.55	0.13	-999	
854.5	52471	5.75	0.14	1.654	
855.5	52503	5.51	0.14	-999	
856.5	52535	5.81	0.14	1.589	
857.5	52567	5.61	0.14	-999	
858.5	52599	5.82	0.16	1.784	
859.5	52632	6.07	0.16	-999	
860.5	52664	5.83	0.14	1.758	
861.5	52696	5.73	0.15	-999	
862.5	52728	5.72	0.15	1.837	
863.5	52760	6.02	0.18	-999	
864.5	52792	6.33	0.16	2.009	
865.5	52824	6.21	0.17	-999	
866.5	52856	6.18	0.17	1.94	
867.5	52888	5.63	0.22	-999	
868.5	52920	5.46	0.2	1.793	
869.5	52952	6.49	0.21	-999	
870.5	52984	5.96	0.21	1.777	
871.5	53016	5.73	0.19	-999	
872.5	53048	6.03	0.19	1.595	
873.5	53080	6.31	0.23	-999	
874.5	53219	6.88	0.27	2.196	
875.5	53358	7.1	0.3	-999	
876.5	53497	7.09	0.3	2.377	
877.5	53636	6.32	0.25	-999	
878.5	53775	6.18	0.27	2.36	
879.5	53818	5.57	0.2	-999	
880.5	53861	4.98	0.19	1.454	
881.5	53903	5.66	0.18	-999	
882.5	53946	5.96	0.17	1.533	
883.5	53989	6.28	0.19	-999	
884.5	54032	5.39	0.16	1.663	
885.5	54075	5.07	0.15	-999	
886.5	54118	5.02	0.15	1.389	
887.5	54160	5.31	0.15	-999	
888.5	54203	5.19	0.15	1.193	
889.5	54246	5.47	0.15	-999	
890.5	54289	5.41	0.14	1.67	
891.5	54332	5.71	0.15	-999	
892.5	54374	5.77	0.16	1.477	
894.5	54460	6.57	0.2	1.823	
895.5	54530	6.62	0.21	-999	
896.5	54600	6.84	0.2	1.708	
897.5	54670	6.84	0.21	-999	
898.5	54740	7.18	0.22	2.314	
899.5	54810	7.18	0.23	-999	
900.5	54880	7.47	0.22	2.564	
901.5	54950	7.5	0.23	-999	
902.5	55020	7.61	0.22	2.318	
903.5	55090	7.07	0.21	-999	
904.5	55160	7.43	0.18	2.29	
905.5	55230	7.47	0.19	-999	
906.5	55300	7.67	0.2	2.096	
907.5	55370	7.55	0.22	-999	
908.5	55440	7.23	0.21	1.946	
909.5	55510	6.83	0.2	-999	
910.5	55580	6.96	0.2	2.352	
911.5	55650	6.87	0.2	-999	
912.5	55720	6.85	0.21	1.856	
913.5	55790	6.82	0.18	-999	
914.5	55860	6.55	0.19	1.784	
915.5	55930	6.8	0.19	-999	
916.5	56000	7.11	0.18	1.708	
917.5	56070	7.41	0.19	-999	
918.5	56140	7.57	0.2	1.55	
919.5	56210	7.19	0.18	-999	
920.5	56280	7.48	0.21	1.625	
921.5	56350	7.58	0.22	-999	
922.5	56420	7.94	0.25	1.859	
923.5	56490	8.13	0.3	-999	
924.5	56560	7.96	0.34	2.221	
925.5	56630	7.92	0.34	-999	
926.5	56690	7.15	0.26	1.978	
928.5	56789	6.58	0.2	1.628	
929.5	56838	6.29	0.19	-999	
930.5	56888	6.5	0.23	1.941	
931.5	56938	6.67	0.2	-999	
932.5	56987	6.33	0.17	1.822	
933.5	57037	6.49	0.17	-999	
934.5	57086	6.59	0.17	1.86	
935.5	57136	6.9	0.19	-999	
936.5	57185	6.71	0.2	1.866	
937.5	57280	7.88	0.24	-999	
938.5	57420	7.43	0.25	2.083	
939.5	57560	7.57	0.25	-999	
940.5	57700	7.76	0.26	2.404	
941.5	57840	7.35	0.24	-999	
942.5	57980	7.06	0.23	3.142	
943.5	58120	5.96	0.11	-999	
944.5	58162	5.98	0.23	1.117	
945.5	58203	5.64	0.13	-999	
946.5	58245	5.32	0.15	1.11	
947.5	58287	5.36	0.1	-999	
948.5	58328	5.34	0.2	1.401	
949.5	58370	5.26	0.13	-999	
