# NOAA Paleoclimatology Program - Paleocean Site Data
# rc27-14-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Mark A. Altabet
# Core/Site:      RC27-14
# Latitude:       18.15.12N	( 18.25333)
# Longitude:      57.39.18E	( 57.655)
# Water Depth(m): 596
#
# Publications:
#   Altabet, M.A., M.J. Higginson, and D.W. Murray. 2002. The effect of millennial-scale
#     changes in Arabian Sea denitrification on atmospheric CO2. Nature 415:159-162.
#------------------
#
# Description & Notes:
#   Arabian Sea Denitrification Data.
#   Substantial millennial-scale variability in Arabian Sea denitrification and productivity
#   is indicated during the last glacial period.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d15N          delta N15
#
# CORE: RC27-14
depth	yrBP 	d15N	
704.5	46427	6.19	
705.5	46461	5.9	
706.5	46495	5.84	
707.5	46529	6.64	
708.5	46562	6.79	
709.5	46596	7.14	
710.5	46630	6.82	
711.5	46664	6.73	
712.5	46694	6.83	
713.5	46723	6.84	
714.5	46753	7.1	
715.5	46782	6.89	
716.5	46812	7.16	
717.5	46841	7.06	
718.5	46871	7.14	
719.5	46900	7.54	
720.5	46930	7.45	
721.5	46959	7.46	
722.5	46989	7.7	
723.5	47018	7.95	
724.5	47048	7.97	
725.5	47077	7.49	
726.5	47107	7.63	
727.5	47136	7.71	
728.5	47166	7.34	
729.5	47195	7.23	
730.5	47240	7.12	
731.5	47286	6.26	
732.5	47331	6.23	
733.5	47377	6.31	
734.5	47422	6.72	
735.5	47467	6.4	
736.5	47513	6.29	
737.5	47558	7.07	
738.5	47604	7.03	
739.5	47649	7.31	
740.5	47678	7.32	
741.5	47707	7.83	
742.5	47737	7.76	
743.5	47766	8.11	
744.5	47795	7.92	
745.5	47824	7.88	
746.5	47854	7.9	
747.5	47883	7.83	
748.5	47912	7.71	
749.5	47941	8.1	
750.5	47971	8.12	
751.5	48000	7.91	
752.5	48029	8.03	
753.5	48058	8.06	
754.5	48087	8.02	
755.5	48117	8.21	
756.5	48146	8.17	
757.5	48175	8.32	
758.5	48204	8.6	
759.5	48234	8.64	
760.5	48263	8.53	
761.5	48292	8.06	
762.5	48321	8.09	
763.5	48350	8.17	
764.5	48380	7.91	
765.5	48409	8.19	
766.5	48438	8.29	
767.5	48467	8.12	
768.5	48497	8.29	
769.5	48526	8.37	
770.5	48555	8.33	
771.5	48584	8.32	
772.5	48614	8.62	
773.5	48643	8.68	
774.5	48672	8.67	
775.5	48701	8.74	
776.5	48730	8.62	
777.5	48760	8.54	
778.5	48789	8.57	
779.5	48818	8.25	
780.5	48847	8.57	
781.5	48877	8.52	
782.5	48906	8.16	
783.5	48935	7.84	
784.5	48964	7.95	
785.5	48993	7.78	
786.5	49023	7.76	
787.5	49052	7.83	
788.5	49081	8.02	
789.5	49110	8	
790.5	49156	8.76	
791.5	49218	8.85	
792.5	49280	8.88	
793.5	49342	8.89	
794.5	49404	8.99	
795.5	49466	9.3	
796.5	49528	9.32	
797.5	49590	9.19	
798.5	49653	9.19	
799.5	49715	9.13	
800.5	49777	8.93	
801.5	49839	8.56	
802.5	49901	8.97	
803.5	49963	8.33	
804.5	50025	8.48	
805.5	50087	8.85	
806.5	50149	8.93	
807.5	50211	8.27	
808.5	50273	9.1	
809.5	50335	8.67	
810.5	50397	8.9	
811.5	50459	8.38	
812.5	50521	8.65	
813.5	50583	9	
814.5	50646	9.09	
815.5	50708	8.65	
816.5	50770	8.86	
817.5	50832	9.18	
818.5	50894	9.2	
819.5	50956	9.27	
820.5	51018	9.44	
822.5	51142	8.78	
823.5	51204	8.8	
824.5	51266	9.16	
825.5	51328	9.15	
826.5	51390	9.2	
827.5	51452	8.71	
829.5	51576	8.45	
830.5	51639	8.4	
831.5	51701	8.92	
832.5	51763	8.47	
833.5	51825	7.71	
834.5	51887	7.21	
835.5	51949	7.74	
836.5	52011	8.04	
837.5	52073	8.04	
839.5	52170	6.32	
840.5	52205	5.32	
841.5	52240	5.16	
842.5	52275	5.26	
843.5	52310	5.14	
844.5	52345	6.81	
845.5	52380	5.63	
846.5	52415	5.22	
847.5	52450	5.35	
848.5	52485	5.38	
849.5	52520	5.45	
850.5	52555	5.38	
851.5	52590	5.51	
852.5	52625	5.75	
853.5	52660	5.76	
854.5	52695	5.73	
855.5	52730	5.56	
856.5	52765	5.82	
857.5	52800	5.6	
858.5	52835	5.62	
859.5	52870	5.63	
860.5	52905	5.72	
861.5	52940	5.87	
862.5	52975	5.51	
863.5	53010	5.79	
864.5	53045	6.04	
865.5	53080	6.45	
866.5	53173	6.28	
867.5	53265	7.27	
868.5	53358	7.18	
869.5	53451	7.2	
870.5	53543	7.12	
871.5	53636	6.81	
872.5	53729	6.53	
873.5	53786	6.6	
874.5	53809	5.83	
875.5	53832	5.49	
876.5	53855	5.06	
877.5	53878	4.8	
878.5	53901	4.95	
879.5	53923	4.98	
880.5	53946	5.34	
881.5	53969	5.12	
882.5	53992	5.04	
883.5	54015	5.57	
884.5	54038	6.59	
885.5	54060	5.57	
886.5	54083	5.34	
887.5	54106	5.71	
888.5	54129	6.28	
889.5	54152	5.68	
890.5	54175	5.55	
891.5	54197	5.64	
892.5	54220	5.61	
893.5	54243	5.53	
894.5	54266	5.97	
895.5	54289	5.64	
896.5	54312	6.31	
897.5	54334	7.1	
898.5	54357	6.6	
899.5	54380	6.24	
901.5	54426	6.53	
902.5	54449	7.1	
903.5	54502	7.27	
904.5	54585	7.48	
905.5	54668	8.03	
906.5	54751	7.57	
907.5	54834	7.43	
908.5	54918	7.7	
909.5	55001	7.71	
910.5	55084	7.68	
911.5	55167	7.85	
912.5	55250	7.81	
913.5	55334	7.71	
914.5	55417	7.94	
915.5	55500	7.82	
916.5	55583	7.72	
917.5	55667	7.96	
918.5	55750	7.86	
919.5	55833	7.67	
920.5	55916	7.91	
921.5	55999	7.92	
922.5	56083	8	
923.5	56166	8.1	
924.5	56249	8.02	
925.5	56332	7.92	
926.5	56415	7.71	
928.5	56582	7.59	
929.5	56665	6.86	
930.5	56699	6.23	
931.5	56733	6	
932.5	56767	6.18	
933.5	56801	6.19	
934.5	56835	6.27	
935.5	56869	6.07	
936.5	56903	6.04	
937.5	56938	5.86	
939.5	57006	6.12	
940.5	57040	5.98	
941.5	57074	5.97	
942.5	57108	6.21	
943.5	57142	6.58	
944.5	57176	6.75	
945.5	57210	6.96	
946.5	57331	6.84	
947.5	57453	7.6	
948.5	57574	7.82	
949.5	57695	7.77	
950.5	57817	7.64	
951.5	57938	7.58	
952.5	58059	6.76	
953.5	58140	5.6	
954.5	58179	5.34	
955.5	58218	5.4	
956.5	58257	5.37	
957.5	58297	5.36	
958.5	58336	5.39	
959.5	58375	5.53	
960.5	58415	5.82	
961.5	58454	5.41	
962.5	58493	5.36	
963.5	58532	5.29	
964.5	58572	5.04	
965.5	58611	5.25	
966.5	58650	5.15	
967.5	58689	5.2	
968.5	58729	5.2	
969.5	58768	5.18	
970.5	58807	4.91	
971.5	58846	5	
972.5	58886	5.09	
973.5	58925	5.46	
974.5	58964	5.16	
975.5	59004	5.13	
976.5	59043	5.08	
977.5	59082	4.89	
978.5	59121	4.99	
979.5	59161	4.86	
980.5	59200	4.88	
981.5	59239	5.3	
982.5	59278	5.01	
983.5	59318	4.98	
984.5	59357	4.97	
985.5	59396	5.23	
986.5	59435	4.96	
987.5	59475	4.86	
988.5	59514	4.9	
989.5	59553	4.87	
990.5	59593	5.15	
991.5	59632	4.82	
992.5	59671	5.01	
993.5	59710	4.91	
994.5	59750	4.88	
995.5	59789	4.94	
996.5	59828	5.81	
997.5	59867	6.17	
998.5	59907	5.42	
999.5	59946	5.03	
1001.5	60024	4.85	
1002.5	60064	5.07	
1003.5	60103	4.93	
1004.5	60142	4.92	
1005.5	60182	4.76	
1006.5	60221	4.91	
1007.5	60260	4.66	
1008.5	60299	4.75	
1009.5	60339	4.86	
1010.5	60378	4.94	
1011.5	60417	4.8	
1012.5	60456	4.7	
1013.5	60496	4.94	
1014.5	60535	4.75	
1015.5	60574	4.79	
1016.5	60613	4.8	
1017.5	60653	4.57	
1018.5	60692	4.79	
1019.5	60731	4.83	
1020.5	60771	4.99	
1021.5	60810	4.92	
1022.5	60849	4.72	
1023.5	60888	4.67	
1024.5	60928	4.67	
1025.5	60967	4.75	
1026.5	61006	4.77	
1027.5	61045	4.77	
1028.5	61085	4.79	
1029.5	61124	4.85	
1030.5	61163	4.67	
1031.5	61202	4.59	
1032.5	61242	4.75	
1033.5	61281	4.61	
1034.5	61320	4.5	
1035.5	61360	4.81	
1036.5	61399	4.55	
1037.5	61438	4.64	
1038.5	61477	4.75	
1039.5	61517	4.68	
1040.5	61556	4.66	
1041.5	61595	4.9	
1042.5	61634	4.75	
1043.5	61674	4.76	
1044.5	61713	4.56	
1045.5	61752	4.41	
1046.5	61791	4.54	
1047.5	61831	4.98	
1048.5	61870	5.88	
1049.5	61909	5.08	
1050.5	61949	4.88	
1051.5	61988	4.77	
1052.5	62027	4.64	
1053.5	62066	4.6	
1054.5	62106	4.57	
1055.5	62145	4.54	
1056.5	62184	4.53	
1057.5	62223	4.71	
1058.5	62263	4.65	
1059.5	62302	4.56	
1060.5	62341	4.59	
1061.5	62381	4.76	
1062.5	62420	4.83	
1063.5	62459	4.78	
1064.5	62498	4.72	
1065.5	62538	4.73	
1066.5	62577	5	
1067.5	62616	4.63	
1068.5	62655	4.83	
1069.5	62695	4.56	
1070.5	62734	4.62	
1071.5	62773	4.4	
1072.5	62812	4.43	
1073.5	62852	4.26	
1074.5	62891	4.61	
1075.5	62930	4.55	
1076.5	62970	4.31	
1077.5	63009	4.45	
1078.5	63048	4.58	
1079.5	63087	4.74	
1080.5	63127	4.52	
1081.5	63166	4.66	
1082.5	63205	4.52	
1083.5	63244	5	
1084.5	63284	4.68	
1085.5	63323	4.83	
